Code,Name,FK_Quarter
1996199710,1996-1997 April,199619974
1996199711,1996-1997 May,199619974
1996199712,1996-1997 June,199619974
1997199801,1997-1998 July,199719981
1997199802,1997-1998 August,199719981
1997199803,1997-1998 September,199719981
1997199804,1997-1998 October,199719982
1997199805,1997-1998 November,199719982
1997199806,1997-1998 December,199719982
1997199807,1997-1998 January,199719983
1997199808,1997-1998 February,199719983
1997199809,1997-1998 March,199719983
1997199810,1997-1998 April,199719984
1997199811,1997-1998 May,199719984
1997199812,1997-1998 June,199719984
1998199901,1998-1999 July,199819991
1998199902,1998-1999 August,199819991
1998199903,1998-1999 September,199819991
1998199904,1998-1999 October,199819992
1998199905,1998-1999 November,199819992
1998199906,1998-1999 December,199819992
1998199907,1998-1999 January,199819993
1998199908,1998-1999 February,199819993
1998199909,1998-1999 March,199819993
1998199910,1998-1999 April,199819994
1998199911,1998-1999 May,199819994
1998199912,1998-1999 June,199819994
1999200001,1999-2000 July,199920001
1999200002,1999-2000 August,199920001
1999200003,1999-2000 September,199920001
1999200004,1999-2000 October,199920002
1999200005,1999-2000 November,199920002
1999200006,1999-2000 December,199920002
1999200007,1999-2000 January,199920003
1999200008,1999-2000 February,199920003
1999200009,1999-2000 March,199920003
1999200010,1999-2000 April,199920004
1999200011,1999-2000 May,199920004
1999200012,1999-2000 June,199920004
2000200101,2000-2001 July,200020011
2000200102,2000-2001 August,200020011
2000200103,2000-2001 September,200020011
2000200104,2000-2001 October,200020012
2000200105,2000-2001 November,200020012
2000200106,2000-2001 December,200020012
2000200107,2000-2001 January,200020013
2000200108,2000-2001 February,200020013
2000200109,2000-2001 March,200020013
2000200110,2000-2001 April,200020014
2000200111,2000-2001 May,200020014
2000200112,2000-2001 June,200020014
2001200201,2001-2002 July,200120021
2001200202,2001-2002 August,200120021
2001200203,2001-2002 September,200120021
2001200204,2001-2002 October,200120022
2001200205,2001-2002 November,200120022
2001200206,2001-2002 December,200120022
2001200207,2001-2002 January,200120023
2001200208,2001-2002 February,200120023
2001200209,2001-2002 March,200120023
2001200210,2001-2002 April,200120024
2001200211,2001-2002 May,200120024
2001200212,2001-2002 June,200120024
2002200301,2002-2003 July,200220031
2002200302,2002-2003 August,200220031
2002200303,2002-2003 September,200220031
2002200304,2002-2003 October,200220032
2002200305,2002-2003 November,200220032
2002200306,2002-2003 December,200220032
2002200307,2002-2003 January,200220033
2002200308,2002-2003 February,200220033
2002200309,2002-2003 March,200220033
2002200310,2002-2003 April,200220034
2002200311,2002-2003 May,200220034
2002200312,2002-2003 June,200220034
2003200401,2003-2004 July,200320041
2003200402,2003-2004 August,200320041
2003200403,2003-2004 September,200320041
2003200404,2003-2004 October,200320042
2003200405,2003-2004 November,200320042
2003200406,2003-2004 December,200320042
2003200407,2003-2004 January,200320043
2003200408,2003-2004 February,200320043
2003200409,2003-2004 March,200320043
2003200410,2003-2004 April,200320044
2003200411,2003-2004 May,200320044
2003200412,2003-2004 June,200320044
2004200501,2004-2005 July,200420051
2004200502,2004-2005 August,200420051
2004200503,2004-2005 September,200420051
2004200504,2004-2005 October,200420052
2004200505,2004-2005 November,200420052
2004200506,2004-2005 December,200420052
2004200507,2004-2005 January,200420053
2004200508,2004-2005 February,200420053
2004200509,2004-2005 March,200420053
2004200510,2004-2005 April,200420054
2004200511,2004-2005 May,200420054
2004200512,2004-2005 June,200420054
2005200601,2005-2006 July,200520061
2005200602,2005-2006 August,200520061
2005200603,2005-2006 September,200520061
2005200604,2005-2006 October,200520062
2005200605,2005-2006 November,200520062
2005200606,2005-2006 December,200520062
2005200607,2005-2006 January,200520063
2005200608,2005-2006 February,200520063
2005200609,2005-2006 March,200520063
2005200610,2005-2006 April,200520064
2005200611,2005-2006 May,200520064
2005200612,2005-2006 June,200520064
2006200701,2006-2007 July,200620071
2006200702,2006-2007 August,200620071
2006200703,2006-2007 September,200620071
2006200704,2006-2007 October,200620072
2006200705,2006-2007 November,200620072
2006200706,2006-2007 December,200620072
